,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
1440,2009-01-11 00:10:00,4.612810471102169,-11.632662295320193,2.3295826567298716,4.612810471102169,4.612810471102169,-9.34763941750496,-9.34763941750496,-9.34763941750496,-1.6341138216330702,-1.6341138216330702,-1.6341138216330702,0.03824898551535196,0.03824898551535196,0.03824898551535196,-7.7517745813872425,-7.7517745813872425,-7.7517745813872425,0.0,0.0,0.0,-4.73482894640279,-10.68
1584,2009-01-12 00:10:00,4.698165863397888,-11.30347733371801,2.335924048100373,4.698165863397888,4.698165863397888,-9.441945282496647,-9.441945282496647,-9.441945282496647,-1.6341138216159372,-1.6341138216159372,-1.6341138216159372,0.07337025696701993,0.07337025696701993,0.07337025696701993,-7.881201717847729,-7.881201717847729,-7.881201717847729,0.0,0.0,0.0,-4.743779419098759,-8.87
1728,2009-01-13 00:10:00,4.783521255693608,-12.135029409866315,2.4172767561809367,4.783521255693608,4.783521255693608,-9.679327292486626,-9.679327292486626,-9.679327292486626,-1.6341138216215731,-1.6341138216215731,-1.6341138216215731,-0.03508604424725499,-0.03508604424725499,-0.03508604424725499,-8.010127426617798,-8.010127426617798,-8.010127426617798,0.0,0.0,0.0,-4.895806036793018,-5.3
1872,2009-01-14 00:10:00,4.868876647989326,-12.104106498531893,2.054120322765678,4.868876647989326,4.868876647989326,-9.899165723338712,-9.899165723338712,-9.899165723338712,-1.6341138216333964,-1.6341138216333964,-1.6341138216333964,-0.1273276352632734,-0.1273276352632734,-0.1273276352632734,-8.137724266442044,-8.137724266442044,-8.137724266442044,0.0,0.0,0.0,-5.030289075349385,-4.61
2016,2009-01-15 00:10:00,4.954232040285046,-11.866390221261199,1.6395488693514766,4.954232040285046,4.954232040285046,-10.003172980927006,-10.003172980927006,-10.003172980927006,-1.6341138216100761,-1.6341138216100761,-1.6341138216100761,-0.10584790929241183,-0.10584790929241183,-0.10584790929241183,-8.263211250024519,-8.263211250024519,-8.263211250024519,0.0,0.0,0.0,-5.048940940641961,0.5
2160,2009-01-16 00:10:00,5.039587432580764,-11.647223852319781,1.8986803636348348,5.039587432580764,5.039587432580764,-9.880647753744219,-9.880647753744219,-9.880647753744219,-1.6341138216218993,-1.6341138216218993,-1.6341138216218993,0.13931835402640014,0.13931835402640014,0.13931835402640014,-8.385852286148717,-8.385852286148717,-8.385852286148717,0.0,0.0,0.0,-4.841060321163455,-4.04
2304,2009-01-17 00:10:00,5.1249428248764834,-12.08595634143788,1.9702417379152173,5.1249428248764834,5.1249428248764834,-10.12174340869998,-10.12174340869998,-10.12174340869998,-1.6341138216275348,-1.6341138216275348,-1.6341138216275348,0.017323992294177186,0.017323992294177186,0.017323992294177186,-8.504953579366624,-8.504953579366624,-8.504953579366624,0.0,0.0,0.0,-4.996800583823496,-2.39
2448,2009-01-18 00:10:00,5.210298217172203,-11.477516758803173,2.129432872648953,5.210298217172203,5.210298217172203,-10.215725175702353,-10.215725175702353,-10.215725175702353,-1.634113821610402,-1.634113821610402,-1.634113821610402,0.03824898551494284,0.03824898551494284,0.03824898551494284,-8.619860339606895,-8.619860339606895,-8.619860339606895,0.0,0.0,0.0,-5.00542695853015,1.91
2592,2009-01-19 00:10:00,5.295653609467922,-12.081258108421073,2.158331442829759,5.295653609467922,5.295653609467922,-10.2906967196865,-10.2906967196865,-10.2906967196865,-1.6341138216160376,-1.6341138216160376,-1.6341138216160376,0.07337025696710611,0.07337025696710611,0.07337025696710611,-8.729953155037567,-8.729953155037567,-8.729953155037567,0.0,0.0,0.0,-4.995043110218577,2.73
2736,2009-01-20 00:10:00,5.3810090017636405,-12.381057245615546,2.0377881940297664,5.3810090017636405,5.3810090017636405,-10.503844235180269,-10.503844235180269,-10.503844235180269,-1.6341138216278608,-1.6341138216278608,-1.6341138216278608,-0.03508604424745578,-0.03508604424745578,-0.03508604424745578,-8.834644369304952,-8.834644369304952,-8.834644369304952,0.0,0.0,0.0,-5.1228352334166285,4.36
2880,2009-01-21 00:10:00,5.46636439405936,-12.081594188508268,2.111811189616771,5.46636439405936,5.46636439405936,-10.694816236667682,-10.694816236667682,-10.694816236667682,-1.634113821633497,-1.634113821633497,-1.634113821633497,-0.1273276352632555,-0.1273276352632555,-0.1273276352632555,-8.933374779770931,-8.933374779770931,-8.933374779770931,0.0,0.0,0.0,-5.228451842608322,-3.06
3024,2009-01-22 00:10:00,5.551719786355078,-12.552768693565147,1.8503073586989376,5.551719786355078,5.551719786355077,-10.765572668652222,-10.765572668652222,-10.765572668652222,-1.634113821616364,-1.634113821616364,-1.634113821616364,-0.10584790929277121,-0.10584790929277121,-0.10584790929277121,-9.025610937743087,-9.025610937743087,-9.025610937743087,0.0,0.0,0.0,-5.213852882297144,-3.85
3168,2009-01-23 00:10:00,5.637075178650798,-12.5834523659778,2.1696405623478006,5.637075178650798,5.637075178650798,-10.605638754178296,-10.605638754178296,-10.605638754178296,-1.6341138216219997,-1.6341138216219997,-1.6341138216219997,0.1393183540264916,0.1393183540264916,0.1393183540264916,-9.110843286582785,-9.110843286582785,-9.110843286582785,0.0,0.0,0.0,-4.968563575527497,-0.9
3312,2009-01-24 00:10:00,5.722430570946517,-11.720053727568443,2.1122716146796225,5.722430570946517,5.722430570946517,-10.805375150098898,-10.805375150098898,-10.805375150098898,-1.634113821633823,-1.634113821633823,-1.634113821633823,0.017323992294349045,0.017323992294349045,0.017323992294349045,-9.188585320759424,-9.188585320759424,-9.188585320759424,0.0,0.0,0.0,-5.0829445791523815,3.64
3456,2009-01-25 00:10:00,5.807785963242235,-11.977774703441924,1.6788519991796,5.807785963242235,5.807785963242235,-10.85423872658182,-10.85423872658182,-10.85423872658182,-1.634113821610503,-1.634113821610503,-1.634113821610503,0.03824898551519714,0.03824898551519714,0.03824898551519714,-9.258373890486514,-9.258373890486514,-9.258373890486514,0.0,0.0,0.0,-5.046452763339584,0.16
3600,2009-01-26 00:10:00,5.8931413555379555,-11.870941062073978,2.0380559247611436,5.8931413555379555,5.8931413555379555,-10.880514279322885,-10.880514279322885,-10.880514279322885,-1.6341138216161386,-1.6341138216161386,-1.6341138216161386,0.07337025696686439,0.07337025696686439,0.07337025696686439,-9.319770714673611,-9.319770714673611,-9.319770714673611,0.0,0.0,0.0,-4.987372923784929,-3.28
3744,2009-01-27 00:10:00,5.978496747833673,-12.091599076149851,1.7590835921712737,5.978496747833673,5.978496747833673,-11.04156496773459,-11.04156496773459,-11.04156496773459,-1.6341138216279616,-1.6341138216279616,-1.6341138216279616,-0.03508604424729198,-0.03508604424729198,-0.03508604424729198,-9.372365101859337,-9.372365101859337,-9.372365101859337,0.0,0.0,0.0,-5.063068219900917,-1.08
3888,2009-01-28 00:10:00,6.063852140129393,-12.14011114347607,2.2194690421344734,6.063852140129393,6.063852140129393,-11.177219273620967,-11.177219273620967,-11.177219273620967,-1.6341138216046414,-1.6341138216046414,-1.6341138216046414,-0.127327635263282,-0.127327635263282,-0.127327635263282,-9.41577781675304,-9.41577781675304,-9.41577781675304,0.0,0.0,0.0,-5.113367133491574,-1.7
4032,2009-01-29 00:10:00,6.149207532425112,-11.503535620185351,2.3383983982879917,6.149207532425112,6.149207532425112,-11.189627702122305,-11.189627702122305,-11.189627702122305,-1.6341138216164648,-1.6341138216164648,-1.6341138216164648,-0.10584790929256019,-0.10584790929256019,-0.10584790929256019,-9.449665971213282,-9.449665971213282,-9.449665971213282,0.0,0.0,0.0,-5.040420169697193,-2.74
4176,2009-01-30 00:10:00,6.234562924720831,-11.64369349282904,2.494048111071607,6.234562924720831,6.234562924720831,-10.968524232549726,-10.968524232549726,-10.968524232549726,-1.6341138216221005,-1.6341138216221005,-1.6341138216221005,0.13931835402652126,0.13931835402652126,0.13931835402652126,-9.473728764954146,-9.473728764954146,-9.473728764954146,0.0,0.0,0.0,-4.733961307828895,-1.96
4320,2009-01-31 00:10:00,6.31991831701655,-11.898708977008289,2.1896904771239183,6.31991831701655,6.31991831701655,-11.104503684135222,-11.104503684135222,-11.104503684135222,-1.6341138216339237,-1.6341138216339237,-1.6341138216339237,0.0173239922941299,0.0173239922941299,0.0173239922941299,-9.487713854795429,-9.487713854795429,-9.487713854795429,0.0,0.0,0.0,-4.784585367118672,-2.5
4464,2009-02-01 00:10:00,6.405273709312269,-11.624608894796246,2.272884370494123,6.405273709312269,6.405273709312269,-11.087288929542234,-11.087288929542234,-11.087288929542234,-1.634113821610603,-1.634113821610603,-1.634113821610603,0.03824898551507849,0.03824898551507849,0.03824898551507849,-9.491424093446708,-9.491424093446708,-9.491424093446708,0.0,0.0,0.0,-4.682015220229966,-3.01
4608,2009-02-02 00:10:00,6.490629101607988,-11.57470846088658,2.130959603749945,6.490629101607988,6.490629101607988,-11.045467915526602,-11.045467915526602,-11.045467915526602,-1.6341138216224265,-1.6341138216224265,-1.6341138216224265,0.0733702569672467,0.0733702569672467,0.0733702569672467,-9.484724350871426,-9.484724350871426,-9.484724350871426,0.0,0.0,0.0,-4.5548388139186144,-2.44
4752,2009-02-03 00:10:00,6.575984493903707,-11.535286850769316,2.4078643925102052,6.575984493903707,6.575984493903707,-11.136747980007307,-11.136747980007307,-11.136747980007307,-1.6341138216280622,-1.6341138216280622,-1.6341138216280622,-0.035086044247192354,-0.035086044247192354,-0.035086044247192354,-9.467548114132052,-9.467548114132052,-9.467548114132052,0.0,0.0,0.0,-4.5607634861036,-1.1
4896,2009-02-04 00:10:00,6.661339886199426,-11.195522757953905,2.2555432506980346,6.661339886199426,6.661339886199426,-11.201345012675086,-11.201345012675086,-11.201345012675086,-1.6341138216109294,-1.6341138216109294,-1.6341138216109294,-0.12732763526305071,-0.12732763526305071,-0.12732763526305071,-9.439903555801104,-9.439903555801104,-9.439903555801104,0.0,0.0,0.0,-4.54000512647566,-2.53
5040,2009-02-05 00:10:00,6.746695278495146,-11.926007672918502,2.544061063497179,6.746695278495146,6.746695278495146,-11.141840497632343,-11.141840497632343,-11.141840497632343,-1.6341138216165652,-1.6341138216165652,-1.6341138216165652,-0.10584790929234919,-0.10584790929234919,-0.10584790929234919,-9.401878766723426,-9.401878766723426,-9.401878766723426,0.0,0.0,0.0,-4.395145219137197,0.63
5184,2009-02-06 00:10:00,6.832050670790864,-10.669407234442119,3.0573971401739595,6.8320506707908635,6.832050670790864,-10.848441333465113,-10.848441333465113,-10.848441333465113,-1.6341138216283881,-1.6341138216283881,-1.6341138216283881,0.1393183540265509,0.1393183540265509,0.1393183540265509,-9.353645865863276,-9.353645865863276,-9.353645865863276,0.0,0.0,0.0,-4.016390662674248,0.67
5328,2009-02-07 00:10:00,6.917406063086584,-10.970741881621993,2.809956234920462,6.917406063086584,6.917406063086584,-10.912253556970768,-10.912253556970768,-10.912253556970768,-1.6341138216340243,-1.6341138216340243,-1.6341138216340243,0.017323992294293912,0.017323992294293912,0.017323992294293912,-9.295463727631036,-9.295463727631036,-9.295463727631036,0.0,0.0,0.0,-3.9948474938841843,0.61
5472,2009-02-08 00:10:00,7.002761455382302,-10.806040023449258,3.9317349922674616,7.002761455382302,7.002761455382302,-10.823543940583114,-10.823543940583114,-10.823543940583114,-1.6341138216168913,-1.6341138216168913,-1.6341138216168913,0.03824898551504232,0.03824898551504232,0.03824898551504232,-9.227679104481265,-9.227679104481265,-9.227679104481265,0.0,0.0,0.0,-3.8207824852008123,2.15
5616,2009-02-09 00:10:00,7.0881168476780205,-10.199444088185018,3.635962271656066,7.0881168476780205,7.0881168476780205,-10.711469533127591,-10.711469533127591,-10.711469533127591,-1.6341138216225273,-1.6341138216225273,-1.6341138216225273,0.07337025696700497,0.07337025696700497,0.07337025696700497,-9.150725968472068,-9.150725968472068,-9.150725968472068,0.0,0.0,0.0,-3.6233526854495706,-2.49
5760,2009-02-10 00:10:00,7.173472239973741,-10.370276886072633,3.4406674062815665,7.173472239973741,7.173472239973741,-10.734322814250902,-10.734322814250902,-10.734322814250902,-1.63411382163435,-1.63411382163435,-1.63411382163435,-0.03508604424769355,-0.03508604424769355,-0.03508604424769355,-9.06512294836886,-9.06512294836886,-9.06512294836886,0.0,0.0,0.0,-3.5608505742771612,-0.1
5904,2009-02-11 00:10:00,7.258827632269459,-10.47408739203387,3.656372064235355,7.258827632269459,7.258827632269459,-10.732910253858568,-10.732910253858568,-10.732910253858568,-1.6341138216110298,-1.6341138216110298,-1.6341138216110298,-0.12732763526324625,-0.12732763526324625,-0.12732763526324625,-8.971468796984292,-8.971468796984292,-8.971468796984292,0.0,0.0,0.0,-3.474082621589109,0.5
6048,2009-02-12 00:10:00,7.3441830245651785,-9.814414937000452,3.7899666076878713,7.3441830245651785,7.3441830245651785,-10.610397615835042,-10.610397615835042,-10.610397615835042,-1.6341138216166657,-1.6341138216166657,-1.6341138216166657,-0.10584790929262443,-0.10584790929262443,-0.10584790929262443,-8.870435884925751,-8.870435884925751,-8.870435884925751,0.0,0.0,0.0,-3.266214591269864,-0.28
6192,2009-02-13 00:10:00,7.429538416860898,-10.134411387584137,4.457779280848307,7.429538416860898,7.429538416860898,-10.25755724732802,-10.25755724732802,-10.25755724732802,-1.6341138216284892,-1.6341138216284892,-1.6341138216284892,0.13931835402646017,0.13931835402646017,0.13931835402646017,-8.76276177972599,-8.76276177972599,-8.76276177972599,0.0,0.0,0.0,-2.828018830467122,-2.11
6336,2009-02-14 00:10:00,7.514893809156617,-9.932003034310847,4.092889242258954,7.514893809156617,7.514893809156617,-10.266028860734412,-10.266028860734412,-10.266028860734412,-1.634113821605169,-1.634113821605169,-1.634113821605169,0.017323992294262434,0.017323992294262434,0.017323992294262434,-8.649239031423507,-8.649239031423507,-8.649239031423507,0.0,0.0,0.0,-2.751135051577795,-0.7
6480,2009-02-15 00:10:00,7.6002492014523355,-9.531097391776015,4.7452878260849625,7.6002492014523355,7.6002492014523355,-10.126568181182266,-10.126568181182266,-10.126568181182266,-1.634113821616992,-1.634113821616992,-1.634113821616992,0.03824898551500614,0.03824898551500614,0.03824898551500614,-8.530703345080282,-8.530703345080282,-8.530703345080282,0.0,0.0,0.0,-2.526318979729931,-5.37
6624,2009-02-16 00:10:00,7.685604593748055,-9.194195088436047,4.652793548612814,7.685604593748055,7.685604593748055,-9.968763940124669,-9.968763940124669,-9.968763940124669,-1.6341138216226276,-1.6341138216226276,-1.6341138216226276,0.07337025696676326,0.07337025696676326,0.07337025696676326,-8.408020375468805,-8.408020375468805,-8.408020375468805,0.0,0.0,0.0,-2.283159346376614,-3.03
6768,2009-02-17 00:10:00,7.770959986043773,-9.433036044198353,4.44935289209801,7.770959986043773,7.770959986043773,-9.95127129342937,-9.95127129342937,-9.95127129342937,-1.6341138216344506,-1.6341138216344506,-1.6341138216344506,-0.03508604424759392,-0.03508604424759392,-0.03508604424759392,-8.282071427547326,-8.282071427547326,-8.282071427547326,0.0,0.0,0.0,-2.1803113073855966,-0.45
6912,2009-02-18 00:10:00,7.856315378339493,-9.138528371698468,4.947316241376374,7.856315378339493,7.856315378339493,-9.915179843622765,-9.915179843622765,-9.915179843622765,-1.6341138216111304,-1.6341138216111304,-1.6341138216111304,-0.12732763526314383,-0.12732763526314383,-0.12732763526314383,-8.153738386748492,-8.153738386748492,-8.153738386748492,0.0,0.0,0.0,-2.058864465283272,-4.93
7056,2009-02-19 00:10:00,7.941670770635212,-9.277692332260928,5.235377674981458,7.941670770635212,7.941670770635212,-9.763849965169657,-9.763849965169657,-9.763849965169657,-1.6341138216229538,-1.6341138216229538,-1.6341138216229538,-0.10584790929249756,-0.10584790929249756,-0.10584790929249756,-8.023888234254207,-8.023888234254207,-8.023888234254207,0.0,0.0,0.0,-1.8221791945344448,-8.07
7200,2009-02-20 00:10:00,8.02702616293093,-9.02605573132114,5.7545763786254716,8.02702616293093,8.02702616293093,-9.388152990886299,-9.388152990886299,-9.388152990886299,-1.6341138216285898,-1.6341138216285898,-1.6341138216285898,0.13931835402655163,0.13931835402655163,0.13931835402655163,-7.89335752328426,-7.89335752328426,-7.89335752328426,0.0,0.0,0.0,-1.3611268279553688,-2.4
7344,2009-02-21 00:10:00,8.11238155522665,-8.484600570333347,5.4487297198711655,8.11238155522665,8.11238155522665,-9.37972703162688,-9.37972703162688,-9.37972703162688,-1.6341138216114564,-1.6341138216114564,-1.6341138216114564,0.017323992294434293,0.017323992294434293,0.017323992294434293,-7.762937202309857,-7.762937202309857,-7.762937202309857,0.0,0.0,0.0,-1.26734547640023,1.55
7488,2009-02-22 00:10:00,8.197736947522369,-8.118149596664775,6.1147826870130295,8.197736947522369,8.197736947522369,-9.229223005744423,-9.229223005744423,-9.229223005744423,-1.6341138216170925,-1.6341138216170925,-1.6341138216170925,0.03824898551526045,0.03824898551526045,0.03824898551526045,-7.63335816964259,-7.63335816964259,-7.63335816964259,0.0,0.0,0.0,-1.031486058222054,-0.17
7632,2009-02-23 00:10:00,8.283092339818088,-7.840142296603526,6.2701185210039085,8.283092339818088,8.283092339818088,-9.066021495730622,-9.066021495730622,-9.066021495730622,-1.634113821628916,-1.634113821628916,-1.634113821628916,0.07337025696714557,0.07337025696714557,0.07337025696714557,-7.50527793106885,-7.50527793106885,-7.50527793106885,0.0,0.0,0.0,-0.7829291559125338,2.78
7776,2009-02-24 00:10:00,8.368447732113806,-7.401428666801441,6.293317344338961,8.368447732113806,8.368447732113806,-9.048468574286938,-9.048468574286938,-9.048468574286938,-1.6341138216345517,-1.6341138216345517,-1.6341138216345517,-0.03508604424743013,-0.03508604424743013,-0.03508604424743013,-7.379268708404955,-7.379268708404955,-7.379268708404955,0.0,0.0,0.0,-0.680020842173132,-0.3
7920,2009-02-25 00:10:00,8.453803124409525,-7.74776267504927,6.25123697691031,8.453803124409525,8.453803124409525,-9.017248769664043,-9.017248769664043,-9.017248769664043,-1.6341138216174185,-1.6341138216174185,-1.6341138216174185,-0.12732763526312593,-0.12732763526312593,-0.12732763526312593,-7.255807312783498,-7.255807312783498,-7.255807312783498,0.0,0.0,0.0,-0.563445645254518,-1.04
8064,2009-02-26 00:10:00,8.539158516705244,-7.676680672986204,6.778821354585056,8.539158516705243,8.539158516705244,-8.8752287839826,-8.8752287839826,-8.8752287839826,-1.634113821623054,-1.634113821623054,-1.634113821623054,-0.10584790929237069,-0.10584790929237069,-0.10584790929237069,-7.135267053067174,-7.135267053067174,-7.135267053067174,0.0,0.0,0.0,-0.33607026727735523,3.54
8208,2009-02-27 00:10:00,8.624513909000964,-7.272080665668715,6.997622066217006,8.624513909000964,8.624513909000964,-8.51270736598383,-8.51270736598383,-8.51270736598383,-1.6341138216348774,-1.6341138216348774,-1.6341138216348774,0.1393183540265195,0.1393183540265195,0.1393183540265195,-7.017911898375473,-7.017911898375473,-7.017911898375473,0.0,0.0,0.0,0.11180654301713311,4.23
8352,2009-02-28 00:10:00,8.709869301296683,-7.4224922965821944,7.3880583457120075,8.709869301296683,8.709869301296683,-8.520682885061296,-8.520682885061296,-8.520682885061296,-1.6341138216115574,-1.6341138216115574,-1.6341138216115574,0.01732399229440281,0.01732399229440281,0.01732399229440281,-6.903893055744144,-6.903893055744144,-6.903893055744144,0.0,0.0,0.0,0.1891864162353869,6.03
8496,2009-03-01 00:10:00,8.7952246935924,-6.607914530502353,7.439482970165463,8.7952246935924,8.7952246935924,-8.389112897299594,-8.389112897299594,-8.389112897299594,-1.6341138216171929,-1.6341138216171929,-1.6341138216171929,0.038248985515141797,0.038248985515141797,0.038248985515141797,-6.793248061197541,-6.793248061197541,-6.793248061197541,0.0,0.0,0.0,0.4061117962928069,5.42
8640,2009-03-02 00:10:00,8.880580085888122,-6.486880561868081,7.7546419965487505,8.880580085888122,8.880580085888122,-8.246645981439771,-8.246645981439771,-8.246645981439771,-1.634113821629016,-1.634113821629016,-1.634113821629016,0.07337025696690383,0.07337025696690383,0.07337025696690383,-6.685902416777658,-6.685902416777658,-6.685902416777658,0.0,0.0,0.0,0.6339341044483504,3.6
8784,2009-03-03 00:10:00,8.96593547818384,-6.484401227194246,8.55947965700258,8.96593547818384,8.96593547818384,-8.250873605169415,-8.250873605169415,-8.250873605169415,-1.634113821605696,-1.634113821605696,-1.634113821605696,-0.035086044246965896,-0.035086044246965896,-0.035086044246965896,-6.581673739316753,-6.581673739316753,-6.581673739316753,0.0,0.0,0.0,0.7150618730144238,4.14
8928,2009-03-04 00:10:00,9.051290870479558,-6.147072993514268,8.08567792591156,9.051290870479558,9.051290870479558,-8.241719777769756,-8.241719777769756,-8.241719777769756,-1.6341138216175195,-1.6341138216175195,-1.6341138216175195,-0.12732763526310803,-0.12732763526310803,-0.12732763526310803,-6.480278320889129,-6.480278320889129,-6.480278320889129,0.0,0.0,0.0,0.8095710927098025,-0.01
9072,2009-03-05 00:10:00,9.136646262775278,-5.8880904333756465,7.8216602671410325,9.136646262775278,9.136646262775278,-8.121301668761136,-8.121301668761136,-8.121301668761136,-1.634113821623155,-1.634113821623155,-1.634113821623155,-0.10584790929215969,-0.10584790929215969,-0.10584790929215969,-6.381339937845822,-6.381339937845822,-6.381339937845822,0.0,0.0,0.0,1.0153445940141417,1.18
9216,2009-03-06 00:10:00,9.222001655070997,-5.176612580916883,8.41387191172752,9.222001655070997,9.222001655070997,-7.779196154540117,-7.779196154540117,-7.779196154540117,-1.6341138216349782,-1.6341138216349782,-1.6341138216349782,0.13931835402649054,0.13931835402649054,0.13931835402649054,-6.284400686931629,-6.284400686931629,-6.284400686931629,0.0,0.0,0.0,1.4428055005308797,5.14
9360,2009-03-07 00:10:00,9.307357047366716,-5.332006245028134,8.475433373041966,9.307357047366716,9.307357047366716,-7.805723404218111,-7.805723404218111,-7.805723404218111,-1.634113821611658,-1.634113821611658,-1.634113821611658,0.01732399229437916,0.01732399229437916,0.01732399229437916,-6.188933574900833,-6.188933574900833,-6.188933574900833,0.0,0.0,0.0,1.5016336431486055,2.68
9504,2009-03-08 00:10:00,9.392712439662436,-5.500228423043987,8.875423971430745,9.392712439662436,9.392712439662436,-7.690221379815296,-7.690221379815296,-7.690221379815296,-1.634113821623481,-1.634113821623481,-1.634113821623481,0.03824898551510562,0.03824898551510562,0.03824898551510562,-6.094356543706922,-6.094356543706922,-6.094356543706922,0.0,0.0,0.0,1.7024910598471399,-1.85
9648,2009-03-09 00:10:00,9.478067831958153,-4.937614390894441,8.793723477068788,9.478067831958153,9.478067831958153,-7.560791142674566,-7.560791142674566,-7.560791142674566,-1.634113821629117,-1.634113821629117,-1.634113821629117,0.07337025696699002,0.07337025696699002,0.07337025696699002,-6.00004757801244,-6.00004757801244,-6.00004757801244,0.0,0.0,0.0,1.9172766892835869,4.24
9792,2009-03-10 00:10:00,9.563423224253873,-4.856448415983398,9.177468667410366,9.563423224253873,9.563423224253873,-7.574560382226903,-7.574560382226903,-7.574560382226903,-1.6341138216119842,-1.6341138216119842,-1.6341138216119842,-0.0350860442474671,-0.0350860442474671,-0.0350860442474671,-5.905360516367453,-5.905360516367453,-5.905360516367453,0.0,0.0,0.0,1.9888628420269692,3.17
9936,2009-03-11 00:10:00,9.648778616549594,-5.50628255806006,8.965129615776162,9.648778616549594,9.648778616549594,-7.5710826294704505,-7.5710826294704505,-7.5710826294704505,-1.6341138216176194,-1.6341138216176194,-1.6341138216176194,-0.12732763526321905,-0.12732763526321905,-0.12732763526321905,-5.809641172589611,-5.809641172589611,-5.809641172589611,0.0,0.0,0.0,2.077695987079143,2.1
